,Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
31471,>35,Other,Man,Dev,30,30,190000.0,16,1
31472,<35,Master,Man,Dev,10,4,55130.0,18,1
31473,<35,Undergraduate,Man,Dev,12,10,68088.0,19,1
31474,<35,Undergraduate,Man,Dev,7,4,36.0,21,1
31475,>35,Undergraduate,Man,Dev,15,11,42336.0,15,0
31476,>35,Undergraduate,Man,Dev,40,26,165000.0,23,1
31477,<35,Undergraduate,Man,Dev,4,0,29320.0,12,0
31478,<35,NoHigherEd,Man,Dev,5,3,36000.0,24,0
31479,<35,Undergraduate,Man,Dev,10,5,48000.0,18,1
31480,>35,Master,Man,NotDev,11,11,20000.0,7,0
31481,<35,Other,Man,NotDev,15,10,91883.0,13,0
31482,<35,NoHigherEd,Man,Dev,3,2,4116.0,11,1
31483,<35,Undergraduate,Man,Dev,6,0,14053.0,6,0
31484,<35,Undergraduate,Man,Dev,18,10,83194.0,28,1
31485,>35,Master,Man,Dev,26,22,108098.0,10,1
31486,>35,Undergraduate,Man,Dev,20,20,34200.0,6,0
31487,<35,Undergraduate,Man,Dev,6,2,15600.0,11,0
31488,<35,NoHigherEd,Man,Dev,4,4,20016.0,9,0
31489,>35,Master,Man,Dev,16,10,150000.0,10,0
31490,>35,Undergraduate,Man,Dev,21,18,30240.0,26,1
31491,<35,Undergraduate,Man,Dev,8,3,69800.0,16,0
31492,<35,Undergraduate,Man,Dev,9,2,120000.0,12,1
31493,<35,Master,Man,Dev,6,6,109680.0,12,0
31494,>35,Master,Man,Dev,30,22,168037.0,14,1
31495,>35,NoHigherEd,Man,Dev,31,18,130500.0,15,1
31496,>35,Master,Man,Dev,30,21,155111.0,17,1
31497,<35,Master,Man,Dev,15,6,91883.0,26,1
31498,>35,Undergraduate,Man,Dev,25,20,28020.0,6,0
31499,<35,NoHigherEd,Man,Dev,5,3,17616.0,15,1
31500,>35,Master,Man,Dev,28,14,77831.0,10,0
31501,>35,Undergraduate,Man,Dev,12,8,60396.0,5,0
31502,>35,PhD,NonBinary,Dev,15,5,64859.0,6,0
31503,>35,Undergraduate,Man,Dev,21,16,82464.0,13,0
31504,>35,Undergraduate,Man,Dev,24,20,128573.0,16,0
31505,>35,Undergraduate,Man,Dev,19,9,155111.0,2,0
31506,>35,PhD,Man,NotDev,35,20,32429.0,18,1
31507,<35,Undergraduate,Man,Dev,2,0,14700.0,14,0
31508,<35,Master,Man,Dev,15,5,64859.0,11,1
31509,>35,Master,Man,Dev,18,16,37620.0,3,0
31510,<35,Other,Man,Dev,6,3,29779.0,6,0
31511,>35,Master,Man,Dev,11,9,80000.0,11,0
31512,<35,Other,Woman,Dev,8,6,56040.0,8,1
31513,<35,Undergraduate,Man,NotDev,6,1,50821.0,19,1
31514,<35,Master,Man,Dev,12,8,86478.0,13,0
31515,>35,Other,Man,Dev,36,30,150000.0,24,1
31516,>35,PhD,Woman,NotDev,9,5,117000.0,5,0
31517,<35,Undergraduate,Man,Dev,12,10,81074.0,12,0
31518,>35,Undergraduate,Man,Dev,20,10,34591.0,7,0
31519,<35,Undergraduate,Man,Dev,4,0,6156.0,14,0
31520,>35,Undergraduate,Man,Dev,18,13,67215.0,5,1
31521,>35,Undergraduate,Man,NotDev,15,11,58368.0,12,0
31522,>35,Undergraduate,Man,Dev,7,4,160000.0,15,0
31523,<35,NoHigherEd,Man,Dev,10,9,25944.0,19,1
31524,<35,Other,Man,Dev,23,17,105884.0,26,1
31525,<35,Master,Man,Dev,6,1,44320.0,13,0
31526,>35,Undergraduate,Man,Dev,50,40,120000.0,10,1
31527,<35,Undergraduate,Man,Dev,11,3,4092.0,21,1
31528,<35,Undergraduate,Man,Dev,12,3,31022.0,3,0
31529,<35,Master,Man,Dev,8,1,55224.0,5,0
31530,>35,Undergraduate,Man,Dev,10,7,77146.0,16,1
31531,<35,Other,Man,Dev,20,11,55200.0,16,1
31532,<35,Master,Man,Dev,17,15,167552.0,32,1
31533,<35,Other,Man,Dev,29,20,140000.0,14,1
31534,<35,Undergraduate,Man,Dev,6,3,77556.0,11,0
31535,>35,Master,Man,Dev,30,25,175000.0,9,0
31536,<35,Undergraduate,Man,NotDev,15,12,6468.0,9,0
31537,<35,Undergraduate,Man,NotDev,15,8,105884.0,24,1
31538,<35,PhD,Man,Dev,9,5,155000.0,24,1
31539,<35,Undergraduate,Man,Dev,5,0,34356.0,8,0
31540,<35,Undergraduate,Woman,Dev,10,5,90758.0,14,1
31541,<35,Undergraduate,Man,Dev,17,12,125000.0,12,0
31542,<35,Master,Man,Dev,13,4,47184.0,9,0
31543,<35,Undergraduate,Man,Dev,15,10,130000.0,16,0
31544,>35,Master,Man,NotDev,12,9,122128.0,8,0
31545,>35,Undergraduate,Man,Dev,9,3,7800.0,8,0
31546,<35,NoHigherEd,Man,NotDev,5,1,5292.0,18,0
31547,>35,Master,Man,Dev,22,17,72744.0,12,0
31548,<35,Master,Man,Dev,21,10,188000.0,18,1
31549,<35,Other,Man,Dev,5,4,10700.0,20,1
31550,<35,Undergraduate,Man,Dev,14,4,48816.0,39,1
31551,<35,Undergraduate,Man,Dev,15,10,105936.0,20,0
31552,>35,Undergraduate,Man,Dev,17,6,42612.0,11,1
31553,<35,Other,Man,Dev,11,5,12852.0,12,1
31554,>35,Master,Man,Dev,19,15,82080.0,15,1
31555,<35,PhD,Man,Dev,20,9,103987.0,13,1
31556,>35,PhD,Man,Dev,15,10,54049.0,6,0
31557,<35,Undergraduate,Man,Dev,12,7,64859.0,26,1
31558,>35,Undergraduate,Man,NotDev,15,10,27288.0,7,0
31559,<35,Master,Man,Dev,25,10,60000.0,9,1
31560,>35,Undergraduate,Man,NotDev,40,23,130000.0,1,0
31561,<35,Undergraduate,Man,Dev,14,9,182850.0,7,0
31562,<35,Other,Man,Dev,4,2,8496.0,10,1
31563,<35,Undergraduate,Man,Dev,7,3,4620.0,9,0
31564,<35,NoHigherEd,Man,NotDev,3,2,32424.0,11,0
31565,>35,Undergraduate,Man,Dev,30,30,98000.0,16,1
31566,<35,Other,Man,Dev,11,6,75631.0,16,1
31567,>35,Other,Man,Dev,15,12,60783.0,22,1
31568,>35,Undergraduate,Man,Dev,15,14,19236.0,13,1
31569,<35,Other,Man,Dev,13,10,79800.0,16,1
31570,>35,Undergraduate,Man,NotDev,50,36,94045.0,5,0
31571,<35,Undergraduate,Man,Dev,12,8,200000.0,19,1
31572,<35,Undergraduate,Man,Dev,6,3,56705.0,5,0
31573,>35,PhD,Man,Dev,30,14,118908.0,21,1
31574,<35,Other,Man,NotDev,9,6,70000.0,6,0
31575,<35,Other,Man,Dev,22,14,46536.0,11,0
31576,>35,Undergraduate,Man,Dev,32,20,176000.0,11,0
31577,>35,Undergraduate,Man,Dev,15,8,66024.0,11,0
31578,<35,Undergraduate,Man,Dev,7,2,15564.0,5,0
31579,<35,Undergraduate,Man,Dev,10,6,52942.0,32,1
31580,<35,Undergraduate,Man,Dev,12,0,44762.0,25,1
31581,>35,Undergraduate,Man,Dev,28,24,33504.0,6,0
31582,<35,Undergraduate,Woman,Dev,11,7,178000.0,9,0
31583,<35,Undergraduate,Man,Dev,11,10,28584.0,14,0
31584,<35,Other,Man,Dev,11,3,13368.0,16,1
31585,<35,Master,Man,Dev,12,7,86478.0,12,1
31586,>35,Master,Man,Dev,26,15,141431.0,13,0
31587,>35,Undergraduate,Man,Dev,20,17,26640.0,13,0
31588,>35,Master,Man,Dev,37,18,151000.0,13,1
31589,<35,Other,Man,NotDev,19,13,77850.0,13,1
31590,>35,Undergraduate,Man,Dev,21,21,76831.0,19,1
31591,>35,Undergraduate,Man,Dev,19,15,105346.0,5,0
31592,<35,Master,Man,Dev,11,3,49712.0,17,1
31593,<35,Other,Man,Dev,15,8,84000.0,8,0
31594,<35,Other,Man,Dev,3,0,29136.0,19,0
31595,>35,Other,Man,Dev,35,21,79413.0,10,1
31596,>35,Undergraduate,Man,Dev,20,20,86853.0,18,1
31597,<35,Undergraduate,Man,NotDev,5,5,99000.0,11,0
31598,>35,Undergraduate,Man,NotDev,28,23,180000.0,7,0
31599,<35,Undergraduate,Man,Dev,9,0,3351.0,4,0
31600,<35,Other,Man,Dev,14,5,17520.0,14,1
31601,<35,Undergraduate,Man,Dev,5,0,45000.0,6,0
31602,<35,Other,Man,Dev,4,2,102000.0,8,0
31603,>35,Other,Man,NotDev,11,10,10644.0,13,0
31604,<35,PhD,Man,Dev,3,2,6702.0,17,1
31605,<35,Master,Man,Dev,13,5,85433.0,19,1
31606,<35,Master,Man,Dev,7,2,10471.0,12,0
31607,<35,Master,Man,Dev,6,3,6981.0,7,0
31608,>35,Master,Man,Dev,20,10,195000.0,41,1
31609,>35,Master,Man,NotDev,30,3,106895.0,11,0
31610,<35,Undergraduate,Man,Dev,6,4,80000.0,21,1
31611,>35,Undergraduate,Man,Dev,26,22,100000.0,3,0
31612,<35,Undergraduate,Man,Dev,10,4,104000.0,2,0
31613,<35,Undergraduate,Man,Dev,8,3,7092.0,9,0
31614,<35,Master,Man,Dev,7,5,33156.0,7,0
31615,<35,Undergraduate,Man,Dev,9,6,115000.0,10,0
31616,>35,Other,Man,Dev,44,36,140000.0,14,0
31617,<35,PhD,Man,NotDev,7,1,68068.0,4,0
31618,<35,Other,Woman,Dev,15,12,215000.0,10,0
31619,<35,Undergraduate,Man,Dev,7,3,52942.0,9,0
31620,>35,Undergraduate,Man,Dev,30,26,24564.0,14,1
31621,<35,Undergraduate,Man,Dev,8,7,109665.0,22,1
31622,<35,Other,Man,Dev,3,1,7452.0,4,0
31623,>35,Undergraduate,NonBinary,Dev,25,25,159700.0,16,0
31624,<35,Undergraduate,Man,Dev,3,2,7764.0,16,1
31625,<35,Undergraduate,Man,Dev,8,4,90000.0,9,0
31626,>35,Other,Man,Dev,37,26,129720.0,17,1
31627,<35,Undergraduate,Man,Dev,13,11,58644.0,16,1
31628,<35,Undergraduate,Man,Dev,6,5,20208.0,11,0
31629,<35,Master,Man,Dev,13,9,140000.0,10,0
31630,<35,Undergraduate,Man,Dev,19,8,95000.0,18,1
31631,<35,NoHigherEd,Man,Dev,2,1,13260.0,10,0
31632,<35,Undergraduate,Man,Dev,8,6,126084.0,18,1
31633,>35,Other,Man,Dev,43,39,64000.0,1,0
31634,>35,Other,Man,Dev,25,15,56252.0,27,1
31635,<35,Master,Man,Dev,17,5,62828.0,7,0
31636,>35,Master,Man,Dev,18,12,47808.0,5,0
31637,<35,Undergraduate,Man,Dev,22,8,41885.0,28,1
31638,<35,Master,Man,Dev,6,5,51636.0,10,1
31639,<35,Master,Man,Dev,6,3,4560.0,17,0
31640,<35,Master,Man,Dev,11,8,50880.0,6,0
31641,<35,Undergraduate,Man,Dev,5,2,6696.0,17,1
31642,<35,Master,Man,Dev,10,6,19884.0,17,1
31643,<35,Other,Man,Dev,18,10,7464.0,16,0
31644,<35,Other,Man,Dev,3,2,18060.0,11,0
31645,<35,Undergraduate,Man,Dev,7,6,23735.0,5,0
31646,<35,NoHigherEd,Man,Dev,9,0,30204.0,7,0
31647,>35,Undergraduate,Man,NotDev,35,30,133619.0,7,0
31648,<35,Undergraduate,Man,Dev,6,6,98064.0,16,1
31649,<35,Undergraduate,Man,Dev,9,6,80000.0,22,1
31650,>35,PhD,Man,Dev,20,10,125901.0,9,0
31651,>35,Other,Man,Dev,39,29,64044.0,14,1
31652,>35,NoHigherEd,Man,Dev,15,8,7944.0,8,0
31653,<35,Other,Man,Dev,2,1,130000.0,13,1
31654,>35,Undergraduate,Man,Dev,14,12,140088.0,15,1
31655,>35,Other,Man,Dev,35,26,145927.0,21,0
31656,<35,Other,Man,Dev,12,9,29320.0,13,1
31657,<35,Undergraduate,Man,Dev,0,4,13404.0,16,1
31658,<35,PhD,Man,NotDev,9,9,49119.0,5,0
31659,<35,Undergraduate,Man,Dev,5,4,93533.0,13,0
31660,<35,Undergraduate,Man,Dev,2,0,11867.0,11,0
31661,<35,NoHigherEd,Man,Dev,4,8,1128.0,14,0
31662,>35,Master,Man,Dev,25,14,86844.0,8,1
31663,<35,Master,Man,Dev,17,13,2856.0,10,1
31664,<35,Undergraduate,Man,Dev,12,4,122580.0,7,0
31665,>35,Undergraduate,Man,NotDev,14,9,90000.0,5,0
31666,<35,Undergraduate,Man,Dev,16,12,22800.0,24,1
31667,<35,Undergraduate,Man,Dev,5,3,21864.0,12,1
31668,<35,Undergraduate,Man,Dev,7,6,33012.0,10,0
31669,<35,Other,Man,Dev,21,13,57120.0,24,1
31670,<35,Undergraduate,NonBinary,NotDev,10,7,16752.0,2,0
31671,<35,Master,Man,Dev,15,10,46533.0,3,0
31672,>35,Undergraduate,Man,Dev,38,23,63036.0,9,0
31673,>35,NoHigherEd,Woman,Dev,10,5,16860.0,10,1
31674,<35,NoHigherEd,Man,Dev,10,2,5832.0,15,1
31675,<35,Undergraduate,Man,Dev,2,5,31030.0,7,0
31676,<35,Master,Man,Dev,15,10,22644.0,5,0
31677,<35,Undergraduate,Man,Dev,1,0,4691.0,1,0
31678,>35,Undergraduate,Man,Dev,37,25,175116.0,7,0
31679,<35,Master,Man,Dev,8,2,5028.0,5,0
31680,>35,Other,Man,Dev,31,22,41508.0,10,1
31681,>35,Master,Man,Dev,20,12,129259.0,10,0
31682,>35,Undergraduate,Man,Dev,23,17,23268.0,14,0
31683,<35,Undergraduate,Man,Dev,3,0,3348.0,15,1
31684,>35,PhD,Woman,NotDev,35,15,75669.0,1,0
31685,<35,Undergraduate,Man,Dev,4,1,13962.0,13,0
31686,<35,Undergraduate,Man,Dev,4,5,9804.0,13,0
31687,<35,Master,Man,Dev,12,5,60535.0,21,1
31688,<35,Undergraduate,Man,Dev,5,0,7884.0,17,1
31689,<35,Undergraduate,Woman,Dev,7,2,21264.0,4,0
31690,<35,Master,Man,Dev,15,6,103555.0,18,0
31691,<35,Undergraduate,Man,Dev,3,1,10810.0,17,1
31692,<35,Undergraduate,Man,Dev,3,2,16380.0,11,0
31693,>35,Master,Man,Dev,30,15,19236.0,16,1
31694,<35,Undergraduate,Man,Dev,11,3,39770.0,15,0
31695,<35,Master,Man,Dev,10,5,86853.0,14,1
31696,<35,Other,Man,Dev,14,12,77831.0,12,1
31697,<35,Undergraduate,Man,Dev,6,2,9732.0,12,0
31698,<35,Undergraduate,Man,Dev,7,3,19236.0,14,0
31699,>35,Master,Man,Dev,17,13,64859.0,13,1
31700,<35,Master,Man,Dev,7,4,116333.0,23,1
31701,<35,Master,Man,Dev,18,10,41885.0,15,1
31702,<35,Undergraduate,Man,Dev,9,4,28622.0,19,1
31703,>35,Master,Man,Dev,30,22,172950.0,11,0
31704,<35,Undergraduate,Man,Dev,7,5,18732.0,6,0
31705,>35,Master,Man,Dev,20,9,85385.0,29,1
31706,<35,Undergraduate,Man,Dev,14,12,14400.0,27,1
31707,>35,Master,Man,Dev,45,30,45288.0,30,1
31708,<35,Master,Man,Dev,10,2,45396.0,5,0
31709,<35,Undergraduate,Man,Dev,5,4,10450.0,14,1
31710,<35,NoHigherEd,Woman,Dev,4,2,9876.0,20,1
31711,<35,Undergraduate,Man,Dev,4,1,25944.0,8,0
31712,<35,Other,Man,NotDev,12,7,64859.0,21,1
31713,<35,NoHigherEd,Man,Dev,3,1,3852.0,15,1
31714,<35,Master,Man,Dev,10,7,51636.0,15,1
31715,>35,Master,Man,Dev,25,25,32424.0,4,0
31716,<35,Undergraduate,Man,Dev,8,3,25690.0,9,0
31717,<35,Master,Man,Dev,11,9,35951.0,9,0
31718,>35,Master,Man,Dev,33,26,116333.0,8,0
31719,<35,Master,Man,NotDev,11,7,5652.0,4,0
31720,>35,Other,Man,Dev,20,12,51138.0,18,1
31721,>35,Undergraduate,Man,Dev,12,7,105072.0,3,0
31722,>35,Undergraduate,Man,Dev,25,13,40274.0,7,0
31723,<35,Undergraduate,Man,Dev,15,11,194580.0,15,0
31724,<35,Undergraduate,Man,NotDev,4,1,3216.0,5,0
31725,<35,PhD,NonBinary,Dev,10,3,89929.0,9,0
31726,<35,Undergraduate,Man,Dev,10,5,52536.0,4,0
31727,>35,Master,Man,Dev,9,5,86478.0,5,0
31728,<35,Undergraduate,Man,Dev,6,2,3516.0,23,1
31729,<35,Other,Man,Dev,8,3,51704.0,15,1
31730,<35,Undergraduate,Woman,Dev,9,7,39780.0,15,0
31731,>35,Undergraduate,Man,Dev,12,8,67500.0,2,0
