,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
121,<35,Undergraduate,Yes,Dev,18,7,0
122,<35,Undergraduate,No,NotDev,2,2,1
123,<35,Master,No,Dev,5,5,1
124,>35,PhD,No,NotDev,16,12,0
125,<35,Other,No,NotDev,9,3,0
126,>35,PhD,No,Dev,13,8,1
127,<35,Undergraduate,No,Dev,6,4,0
128,<35,Master,No,Dev,13,8,0
129,<35,Undergraduate,No,Dev,12,3,1
130,<35,Master,No,Dev,15,11,0
131,<35,Master,No,Dev,10,7,1
132,<35,Undergraduate,No,Dev,7,3,1
133,<35,Master,No,NotDev,6,2,1
134,<35,Undergraduate,Yes,Dev,10,2,0
135,<35,Master,No,Dev,7,7,1
136,<35,Undergraduate,No,Dev,10,3,1
137,<35,Other,No,Dev,4,2,0
138,>35,Master,No,Dev,24,15,1
139,>35,Undergraduate,No,Dev,18,13,1
140,<35,Undergraduate,No,Dev,12,8,1
141,>35,Undergraduate,No,Dev,37,31,1
142,<35,Undergraduate,No,NotDev,20,9,1
143,<35,Undergraduate,No,Dev,9,7,1
144,>35,Other,No,Dev,5,Less than 1 year,1
145,<35,Other,Yes,Dev,8,6,1
146,>35,Undergraduate,Yes,Dev,24,16,1
147,<35,Other,No,Dev,12,12,0
148,<35,Master,Yes,Dev,10,10,0
149,<35,Other,No,Dev,5,3,0
150,<35,Undergraduate,No,Dev,9,4,0
151,>35,Other,No,Dev,30,20,1
152,<35,PhD,No,NotDev,10,4,1
153,>35,Undergraduate,No,NotDev,23,23,0
154,>35,Other,No,Dev,20,15,1
155,<35,Undergraduate,No,Dev,6,1,0
156,>35,Undergraduate,No,Dev,25,15,1
157,<35,Undergraduate,Yes,Dev,5,2,0
158,<35,Master,No,Dev,22,13,1
159,<35,Undergraduate,Yes,Dev,21,12,1
160,<35,Master,No,Dev,14,4,1
161,>35,Master,No,Dev,31,21,1
162,>35,Undergraduate,No,Dev,44,34,1
163,>35,Undergraduate,No,Dev,40,26,1
164,>35,Other,No,Dev,22,22,1
165,>35,Master,No,Dev,20,5,1
166,<35,Master,No,NotDev,10,7,1
167,<35,Other,Yes,Dev,23,11,1
168,<35,Undergraduate,No,Dev,6,6,1
169,<35,Master,No,Dev,14,10,1
170,<35,Undergraduate,No,Dev,14,7,1
171,>35,Undergraduate,Yes,Dev,25,15,1
172,<35,Undergraduate,No,Dev,7,Less than 1 year,0
173,<35,Other,Yes,Dev,11,6,1
174,<35,Master,No,Dev,17,11,1
175,<35,Undergraduate,No,Dev,6,4,0
176,<35,Undergraduate,No,Dev,18,4,1
177,>35,Other,No,NotDev,41,39,1
178,<35,Master,No,NotDev,14,9,1
179,<35,Undergraduate,No,Dev,4,3,0
180,<35,Undergraduate,No,Dev,4,2,0
181,<35,Other,Yes,Dev,15,4,1
182,<35,Undergraduate,No,Dev,18,6,1
183,>35,PhD,No,NotDev,20,13,1
184,<35,PhD,No,NotDev,15,3,1
185,<35,Master,Yes,Dev,11,6,1
186,<35,Undergraduate,Yes,Dev,12,5,1
187,>35,PhD,No,Dev,30,14,1
188,<35,Other,Yes,Dev,18,1,0
189,<35,Undergraduate,No,Dev,15,8,1
190,>35,Undergraduate,No,Dev,21,14,1
191,<35,Master,No,Dev,8,3,1
192,<35,Undergraduate,No,Dev,12,10,1
193,<35,Undergraduate,No,Dev,6,1,0
194,<35,Undergraduate,No,NotDev,16,7,1
195,<35,Other,Yes,Dev,6,1,1
196,>35,Master,Yes,Dev,25,20,1
197,<35,Other,Yes,Dev,8,7,1
198,>35,Master,No,Dev,27,20,1
199,<35,PhD,Yes,NotDev,13,9,1
200,<35,Master,No,Dev,2,1,1
201,>35,Undergraduate,No,Dev,24,20,1
202,>35,Master,No,Dev,25,24,1
203,>35,Undergraduate,No,Dev,42,27,1
204,<35,Other,No,Dev,7,3,1
205,>35,Other,No,Dev,30,21,1
206,<35,Other,No,Dev,9,4,0
207,>35,Undergraduate,No,Dev,26,16,1
208,>35,Other,No,Dev,26,20,0
209,<35,Master,Yes,Dev,15,6,0
210,<35,Undergraduate,No,Dev,10,6,1
211,>35,PhD,No,NotDev,20,6,1
212,<35,Undergraduate,No,Dev,12,3,1
213,<35,Undergraduate,No,Dev,12,4,0
214,>35,Master,No,Dev,25,16,1
215,<35,Other,No,Dev,6,4,0
216,>35,Other,Yes,Dev,25,16,1
217,<35,Master,No,Dev,8,7,0
218,>35,PhD,No,Dev,35,23,1
219,<35,Master,No,Dev,16,4,1
220,>35,Undergraduate,Yes,Dev,14,12,1
221,<35,Undergraduate,Yes,Dev,6,2,1
222,<35,Other,No,NotDev,15,1,0
223,>35,Master,Yes,Dev,40,35,1
224,<35,Master,No,Dev,3,3,1
225,<35,Undergraduate,No,Dev,12,5,1
226,<35,Undergraduate,No,Dev,7,5,1
227,<35,Undergraduate,No,Dev,9,7,0
228,<35,Master,No,NotDev,20,12,0
229,<35,Undergraduate,No,Dev,10,6,1
230,<35,Undergraduate,No,Dev,7,3,0
231,<35,Undergraduate,No,Dev,9,4,0
232,<35,Other,No,Dev,10,6,1
233,<35,Undergraduate,No,Dev,9,4,1
234,<35,Undergraduate,No,Dev,13,8,1
235,>35,Master,No,Dev,15,10,1
236,<35,Other,No,Dev,8,2,0
